product_id,url,success,fall_back,crawled_at,name,sku,price,product_type,gender,type_id,collection,priceCurrency,discount-value
100000,https://www.glamira.se/checkout/cart/configure/id/2248857/?alloy=white-585&diamond=emerald,True,True,2026-04-24T22:52:03.819022,Engagement Ring Lucetta,Ophelia-Ring,1758.0,ring,women,simple,vintage,USD,10.0
100001,https://www.glamira.ro/glamira-ring-orva.html?alloy=white-585&stone2=diamond-sapphire&itm_source=recommendation&itm_medium=sorting&diamond=diamond-Brillant,True,False,2026-04-24T22:51:44.064387,Inel de Logodnă Orva,ORVA,6472.0,ring,women,simple,halo,RON,10.0
100002,https://www.glamira.fr/glamira-ring-palmier.html?diamond=diamond-Swarovsky&stone2=diamond-sapphire&stone3=diamond-Swarovsky&alloy=yellow-585,True,False,2026-04-24T22:51:50.313169,Bague de fiançailles Palmier,PALMIER,832.0,ring,women,simple,halo,EUR,10.0
100003,https://www.glamira.se/glamira-ring-pemangile.html?alloy=red-585&diamond=diamond-Swarovsky&stone2=diamond-sapphire&stone3=diamond-Swarovsky,True,False,2026-04-24T22:51:48.775078,Förlovningsring Pemangile,pemangile,13865.0,ring,women,simple,halo,SEK,10.0
100004,https://www.glamira.fr/glamira-ring-pieretta.html?stone2=diamond-sapphire&itm_source=recommendation&itm_medium=smartsearch&alloy=white-585&diamond=diamond-Swarovsky&fbclid=IwAR3Z2AGKsAi-XcW44zg9D9HpOvd861U7ptkG1WW_UUl_4XCpX-M1VG5PAvM,True,False,2026-04-24T22:51:53.891242,Bague de fiançailles Pieretta,Pieretta,1127.0,ring,women,simple,halo,EUR,10.0
100005,https://www.glamira.com.au/glamira-ring-pravin.html?stone2=diamond-Brillant&diamond=bluediamond&alloy=yellow_white-585,True,False,2026-04-24T22:51:53.301821,Engagement Ring Pravin,PRAVIN,2188.0,ring,women,simple,exclusive,AUD,10.0
100006,https://www.glamira.at/glamira-ring-prunella.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR2oUqFb9AlJywrn_Tv_zYgdZIyBII6vhHM15FmVJP4h4sh2bFHwj8Gc-7U,True,False,2026-04-24T22:51:49.652285,Verlobungsringe Prunella,PRUNELLA,1204.0,ring,women,simple,halo,EUR,10.0
100007,https://www.glamira.com.au/glamira-ring-purnima.html?stone3=diamond-Swarovsky&fbclid=IwAR03XR3xqlVaulCRdLvHC8RKtZ6YiwJJ897ILMrH84Nf5YfOUhcghd78-CI,True,False,2026-04-24T22:51:52.750912,Engagement Ring Purnima,PURNIMA,1987.0,ring,women,simple,"4380,6071",AUD,10.0
100008,https://www.glamira.co.za/checkout/cart/configure/id/2253673/?alloy=yellow-585&stone3=blackdiamond,True,True,2026-04-24T22:52:11.929001,Engagement Ring Salerno,SALERNO,1791.0,ring,women,simple,halo,USD,10.0
100009,https://www.glamira.co.uk/glamira-ring-serilda.html?diamond=ruby&stone2=diamond-Brillant&alloy=yellow-585,True,False,2026-04-24T22:52:08.013137,Engagement Ring Serilda,SERILDA,730.0,ring,women,simple,exclusive,GBP,10.0
100010,https://www.glamira.com/glamira-ring-soria.html?stone2=diamond-Brillant&itm_source=recommendation&itm_medium=sorting&alloy=red-750&diamond=browndiamond,True,False,2026-04-24T22:52:07.568498,GLAMIRA Ring Soria,Soria,6886.0,ring,women,simple,premium,USD,10.0
100011,https://www.glamira.de/glamira-ring-trinetta.html?alloy=yellow-585&diamond=rhodolite&stone2=diamond-sapphire&itm_source=recommendation&itm_medium=sorting,True,False,2026-04-24T22:52:08.354223,Verlobungsring Trinetta,Trinetta,1186.0,ring,women,simple,solitaire_pave,EUR,10.0
100012,https://www.glamira.de/glamira-ring-varese.html?utm_source=criteo&utm_medium=retargeting&utm_campaign=webconversion&diamond=sapphire&stone2=diamond-Brillant&alloy=white-platin,True,False,2026-04-24T22:52:10.454578,Verlobungsring Varese,VARESE,932.0,ring,women,simple,side-stone,EUR,10.0
100013,https://www.glamira.be/fr/glamira-ring-velma.html?stone2=diamond-Brillant&alloy=red_white-750&diamond=yellowdiamond&gclid=EAIaIQobChMI_Nyn_cvn6QIV0Q_TCh0qLws_EAEYASABEgLuLPD_BwE,True,False,2026-04-24T22:52:13.096233,Bague de fiançailles Velma,VELMA,1041.0,ring,women,simple,"4380,6071",EUR,10.0
100014,https://www.glamira.co.uk/glamira-ring-verona.html?alloy=white-silber&diamond=emerald&stone2=diamond-Brillant,True,False,2026-04-24T22:52:10.712762,Engagement Ring Verona,VERONA,806.0,ring,women,simple,side-stone,GBP,10.0
100015,https://www.glamira.co.uk/glamira-ring-voileta.html?stone2=diamond-sapphire&itm_source=recommendation&itm_medium=sorting&diamond=ruby&stone3=diamond-sapphire&alloy=white-750,True,False,2026-04-24T22:52:15.553117,Engagement Ring Voileta,Voileta,856.0,ring,women,simple,exclusive,GBP,10.0
100016,https://www.glamira.com/glamira-ring-reyneke.html?diamond=diamond-sapphire&stone2=diamond-Brillant&alloy=red-585,True,False,2026-04-24T22:52:22.133203,GLAMIRA Ring Reyneke,REYNEKE,1716.0,ring,women,simple,dual_use,USD,10.0
100017,https://www.glamira.com.au/glamira-ring-rudolfia.html?diamond=sapphire&stone2=diamond-Brillant&itm_source=recommendation&itm_medium=sorting&alloy=yellow_white-silber_375,True,False,2026-04-24T22:52:23.406898,GLAMIRA Ring Rudolfia,RUDOLFIA,2555.0,ring,women,simple,dual_use,AUD,10.0
100018,https://www.glamira.de/glamira-ring-sakhalin.html?alloy=red_white-585&diamond=diamond-sapphire&stone2=diamond-Brillant&itm_source=recommendation&itm_medium=sorting,True,False,2026-04-24T22:52:20.963603,GLAMIRA Ring Sakhalin,SAKHALIN,1460.0,ring,women,simple,dual_use,EUR,10.0
100019,https://www.glamira.nl/glamira-ring-severny.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR3ZOWzgG-BAOe_5sckF88OnXSjOVZvcklnPCoBzaILujTuJ61D56KSd5iw,True,False,2026-04-24T22:52:26.428605,GLAMIRA Ringen Severny,SEVERNY,1209.0,ring,women,simple,dual_use,EUR,10.0
100020,https://www.glamira.com.mx/glamira-ring-wrangel.html?fbclid=IwAR31_cv-zuVI6b-AddIAUOlH6TLTGrpedniXT5ZiGkTGNhLHTvHU00lHlRM,True,False,2026-04-24T22:52:26.626337,GLAMIRA Anillo Wrangel,WRANGEL,35352.0,ring,women,simple,dual_use,MXN,10.0
100021,https://www.glamira.bg/glamira-pendant-abellone.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR0LSz2XRmkPMUwudY8w_rtOkGggUdiQaUmRRqT9KcXIBL60Wk0tELf45-U,True,False,2026-04-24T22:52:28.969725,Дамска висулка Abellone,ABELLONE,503.0,pendant,women,simple,halo,EUR,10.0
100022,https://www.glamira.ch/glamira-pendant-acantha.html?alloy=white-585&diamond=diamond-sapphire&stone2=diamond-Brillant,True,False,2026-04-24T22:52:28.005355,Damen anhänger Acantha,ACANTHA,431.0,pendant,women,simple,heart,CHF,10.0
100023,https://www.glamira.hu/glamira-pendant-alzira.html?alloy=white-585&itm_source=recommendation&itm_medium=sorting&diamond=greendiamond&stone2=diamond-sapphire&stone3=diamond-sapphire,True,False,2026-04-24T22:52:33.322188,Női medál Alzira,ALZIRA,203308.0,pendant,women,simple,halo,HUF,10.0
100024,https://www.glamira.es/glamira-pendant-arline.html?alloy=yellow-585&diamond=garnet&stone2=diamond-Brillant&itm_source=recommendation&itm_medium=detail,True,False,2026-04-24T22:52:36.978181,Colgante de Mujer Arline,ARLINE,484.0,pendant,women,simple,halo,EUR,10.0
100025,https://www.glamira.ro/glamira-pendant-audrisa.html?alloy=yellow-750&stone3=blackdiamond&stone2=blackdiamond&diamond=topaz-green,True,False,2026-04-24T22:52:35.222620,Pandantiv Dama Audrisa,AUDRISA,3513.0,necklace,women,simple,vintage,RON,10.0
100026,https://www.glamira.com.au/glamira-pendant-aygen.html?alloy=white-585&diamond=emerald&stone2=diamond-Brillant,True,False,2026-04-24T22:52:36.815439,Women's Pendant Aygen,Aygen,823.0,pendant,women,simple,fashion,AUD,10.0
100027,https://www.glamira.no/glamira-pendant-bertina.html?stone2=diamond-sapphire&alloy=yellow_white-585&diamond=diamond-Swarovsky&gclid=EAIaIQobChMIgdDr2Nzn6QIVQYSyCh0G-ASeEAEYASAEEgI_D_D_BwE,True,False,2026-04-24T22:52:41.383296,Kvinnens anheng Bertina,BERTINA,7830.0,pendant,women,simple,flower,NOK,10.0
100028,https://www.glamira.fr/glamira-pendant-blanda.html?alloy=white-375&diamond=blackdiamond&stone2=diamond-Brillant,True,False,2026-04-24T22:52:42.410919,Pendentif pour femme Blanda,BLANDA,222.0,pendant,women,simple,design_solitaire,EUR,10.0
100029,https://www.glamira.be/glamira-pendant-delmira.html?diamond=diamond-Brillant&alloy=red-375,True,False,2026-04-24T22:52:45.418799,Dames Hanger Delmira,DELMIRA,409.0,pendant,women,simple,fashion,EUR,10.0
100030,https://www.glamira.sg/glamira-pendant-diedre.html?diamond=yellow-sapphire&itm_source=recommendation&itm_medium=sorting&stone2=diamond-Brillant&alloy=white-750,True,True,2026-04-24T22:52:47.413617,GLAMIRA Pendant Diedre,DIEDRE,655.0,pendant,women,simple,halo,USD,10.0
100031,https://www.glamira.hr/glamira-pendant-druella.html?fbclid=IwAR0FHi6Yx9ZH0Qer3jYopaJSedJKX-9SdPuYyV4OI8Ucpt3HrvApfbWmqIE,True,False,2026-04-24T22:52:47.247133,Ženski privjesak Druella,DRUELLA,484.0,pendant,women,simple,heart,EUR,10.0
100032,https://www.glamira.com.mx/glamira-pendant-eberta.html?fbclid=IwAR1dWeA-VfZ2WhtS6oDnL82IgEzhyJ4J7xrlEY1CuBYr4NnMs57GjsCpllg,True,False,2026-04-24T22:52:49.303218,Colgante de Mujer Eberta,EBERTA,9427.0,pendant,women,simple,fashion,MXN,10.0
100033,https://www.glamira.de/checkout/cart/configure/id/2252845/,True,True,2026-04-24T22:53:00.924761,GLAMIRA Pendant Ediline,EDILINE,503.0,pendant,women,simple,halo,USD,10.0
