product_id,url,success,fall_back,crawled_at,name,sku,price,product_type,gender,type_id,collection,priceCurrency,discount-value
92794,https://www.glamira.at/herrenring-classic-step-4mm.html?alloy=yellow-585,True,False,2026-04-25T06:13:19.566655,Herren trauring Classic Step 4mm,GWD11390,687.000000,wedding_ring,men,simple,classic,EUR,10
92795,https://www.glamira.de/herrenring-classic-step-5mm.html?alloy=red-585&stone=diamond-Brillant,True,False,2026-04-25T06:13:18.149441,Herren trauring Classic Step 5mm,GWD11400,948.000000,wedding_ring,men,simple,classic,EUR,10
92796,https://www.glamira.it/classic-choice-4-mm.html?stone=diamond-Zirconia&fbclid=IwAR3T-1nMjDiNboDjQYuw492sm-oX8WCktmM6GUXehOR1PSoyQfFtxTBr5BU&alloy=red-750,True,False,2026-04-25T06:13:22.975508,Fede nuziale Classic Choice 4 mm,GWD12710,1306.000000,wedding_ring,False,product_set,classic,EUR,10
92797,https://www.glamira.ca/mens-ring-classic-step.html?itm_source=recommendation&itm_medium=detail&fbclid=IwAR10U_CMdnHF-0wDySLsCBBv-Gc_DmaDwnl5iPP7D8ZaERxDWAa3J1IkvQo&alloy=white-750,True,False,2026-04-25T06:13:22.517197,Men's Wedding Ring Classic Step,GWD11410,2004.000000,wedding_ring,men,simple,classic,CAD,10
92798,https://www.glamira.com.co/anillo-de-hombre-classic-step-7mm.html?alloy=white-silber&itm_source=recommendation&itm_medium=sorting,True,False,2026-04-25T06:13:23.635487,Anillo de hombre Classic Step 7mm,GWD11420,6910338.000000,wedding_ring,men,simple,classic,COP,10
92799,https://www.glamira.co.uk/mens-ring-classic-step-8mm.html?itm_source=recommendation&itm_medium=sorting&alloy=white-375,True,False,2026-04-25T06:13:19.066372,Men's Ring Classic Step 8mm,GWD11430,1479.000000,wedding_ring,men,simple,classic,GBP,10
92800,https://www.glamira.com.au/mens-ring-classic-step-9mm.html?fbclid=IwAR1Rz9i1hRO_fZH6uoYb7eCEX92svMsgPu0Gyw76vEHhFI81HuH9M13VH_M&alloy=red-375,True,False,2026-04-25T06:13:23.823683,Men's Ring Classic Step 9mm,GWD11440,3396.000000,wedding_ring,men,simple,classic,AUD,10
92801,https://www.glamira.com/womens-ring-classic-fortune-2mm.html?alloy=yellow-750&stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting,True,False,2026-04-25T06:13:22.333831,Women's Ring Classic Fortune 2mm,GWD11450,464.000000,wedding_ring,women,simple,classic,USD,10
92802,https://www.glamira.at/damenring-classic-fortune-3mm.html?alloy=yellow-375,True,False,2026-04-25T06:13:30.249695,Damenring Classic Fortune 3mm,GWD11460,497.000000,wedding_ring,women,simple,classic,EUR,10
92803,https://www.glamira.com/womens-ring-classic-fortune-4mm.html?alloy=yellow-585&stone=diamond-Zirconia,True,False,2026-04-25T06:13:31.882751,Women's Ring Classic Fortune 4mm,GWD11470,848.000000,wedding_ring,women,simple,classic,USD,10
92804,https://www.glamira.ie/womens-ring-classic-fortune-5mm.html?stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting&alloy=yellow-750,True,False,2026-04-25T06:13:31.567690,Women's Wedding Ring Classic Fortune 5mm,GWD11480,860.000000,wedding_ring,women,simple,classic,EUR,10
92805,https://www.glamira.se/damring-classic-fortune.html?alloy=white-375&stone=diamond-Brillant,True,False,2026-04-25T06:13:36.948964,Kvinnans vigselring Classic Fortune,GWD11490,11740.000000,wedding_ring,women,simple,classic,SEK,10
92806,https://www.glamira.de/herrenring-classic-choice-4-mm.html?alloy=white-silber&fbclid=IwAR3-wt0Mtc4SQ6mAATLVVmLEY3DbtOPLxXYwqy24XjCqycFwyqp-QgpLJb8,True,False,2026-04-25T06:13:37.477964,Herren trauring Classic Choice 4 mm,GWD12730,671.000000,wedding_ring,men,simple,classic,EUR,10
92807,https://www.glamira.no/kvinnering-classic-choice-4-mm.html?alloy=white-silber,True,False,2026-04-25T06:13:37.291084,Kvinnens giftering Classic Choice 4 mm,GWD12720,7943.000000,wedding_ring,women,simple,classic,NOK,10
